parcel_id,obreb,county,municipality
142003_2.0002.81/5,BOZEWO,płoński,Baboszewo
142003_2.0002.81/8,BOŻEWO,płoński,Baboszewo
142003_2.0003.101/1,BRZEŚCIE SAMO,płoński,Baboszewo
142003_2.0003.42,BRZEŚCIE SAMO,płoński,Baboszewo
142003_2.0003.99,BRZEŚCIE SAMO,płoński,Baboszewo
142003_2.0006.14,CIESZKOWO KOL,płoński,Baboszewo
142003_2.0006.145/1,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.145/2,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.24,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.26,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.27,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.29/3,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.45,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.46,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.7,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.73,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.74/4,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.75,CIESZKOWO KOL,płoński,Baboszewo
142003_2.0006.76,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0006.77/1,CIESZKOWO KOL,płoński,Baboszewo
142003_2.0006.77/2,CIESZKOWO KOL,płoński,Baboszewo
142003_2.0006.95,CIESZKOWO KOL.,płoński,Baboszewo
142003_2.0007.117,CYWINY DYNGUNY,płoński,Baboszewo
142003_2.0009.13,CYWINY WOJSKIE,płoński,Baboszewo
142003_2.0009.23,CYWINY WOJSKIE,płoński,Baboszewo
142003_2.0009.96,CYWINY WOJSKIE,płoński,Baboszewo
142003_2.0019.250,KIEŁKI,płoński,Baboszewo
142003_2.0019.253,KIEŁKI,płoński,Baboszewo
142003_2.0019.260,KIEŁKI,płoński,Baboszewo
142003_2.0022.19,KROŚCIN,płoński,Baboszewo
142003_2.0022.25,KROŚCIN,płoński,Baboszewo
142003_2.0022.38,KROŚCIN,płoński,Baboszewo
142003_2.0022.56/1,KROŚCIN,płoński,Baboszewo
142003_2.0022.56/2,KROŚCIN,płoński,Baboszewo
142003_2.0022.93,KROŚCIN,płoński,Baboszewo
142003_2.0026.14/1,MYSTKOWO,płoński,Baboszewo
142003_2.0026.14/2,MYSTKOWO,płoński,Baboszewo
142003_2.0026.14/3,MYSTKOWO,płoński,Baboszewo
142003_2.0026.144/3,MYSTKOWO,płoński,Baboszewo
142003_2.0026.147/1,MYSTKOWO,płoński,Baboszewo
142003_2.0026.148,MYSTKOWO,płoński,Baboszewo
142003_2.0026.151,MYSTKOWO,płoński,Baboszewo
142003_2.0026.159/1,MYSTKOWO,płoński,Baboszewo
142003_2.0026.159/2,MYSTKOWO,płoński,Baboszewo
142003_2.0026.159/3,MYSTKOWO,płoński,Baboszewo
142003_2.0026.167,MYSTKOWO,płoński,Baboszewo
142003_2.0026.173/1,MYSTKOWO,płoński,Baboszewo
142003_2.0026.173/2,MYSTKOWO,płoński,Baboszewo
142003_2.0026.175/1,MYSTKOWO,płoński,Baboszewo
